"","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","note_it","note_en"
"1","2020-02-24T18:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,1,"",""
"2","2020-02-25T18:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,1,"",""
"3","2020-02-26T18:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,1,"",""
"4","2020-02-27T18:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,1,"",""
"5","2020-02-28T18:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,1,"",""
"6","2020-02-29T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,1,"",""
"7","2020-03-01T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,29,"",""
"8","2020-03-02T18:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,0,29,"",""
"9","2020-03-03T18:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,1,0,1,0,1,1,1,0,0,1,29,"",""
"10","2020-03-04T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,1,0,1,1,2,1,1,0,0,2,42,"",""
"11","2020-03-05T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,2,0,2,0,2,0,0,0,0,2,50,"",""
"12","2020-03-06T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,2,0,2,3,5,3,3,0,0,5,99,"",""
"13","2020-03-07T18:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,2,0,2,3,5,0,0,0,0,5,99,"",""
"14","2020-03-08T18:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,5,0,5,6,11,6,6,0,0,11,149,"",""
"15","2020-03-09T18:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,8,0,8,11,19,8,8,0,0,19,185,"",""
"16","2020-03-10T18:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,9,0,9,11,20,1,1,0,0,20,204,"",""
"17","2020-03-11T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,10,0,10,27,37,17,17,0,0,37,283,"",""
"18","2020-03-12T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,12,0,12,27,39,2,2,0,0,39,302,"",""
"19","2020-03-13T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,12,0,12,31,43,4,4,0,0,43,504,"",""
"20","2020-03-14T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,14,0,14,33,47,4,4,0,0,47,530,"",""
"21","2020-03-15T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,16,0,16,59,75,28,30,0,2,77,613,"",""
"22","2020-03-16T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,39,0,39,66,105,30,30,0,2,107,797,"",""
"23","2020-03-17T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,36,4,40,75,115,10,10,0,2,117,1003,"",""
"24","2020-03-18T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,42,7,49,83,132,17,17,0,2,134,1135,"",""
"25","2020-03-19T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,43,9,52,152,204,72,72,0,2,206,1334,"",""
"26","2020-03-20T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,56,15,71,217,288,84,87,3,2,293,1912,"",""
"27","2020-03-21T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,65,16,81,240,321,33,37,5,4,330,2297,"",""
"28","2020-03-22T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,67,16,83,244,327,6,9,5,7,339,2402,"",""
"29","2020-03-23T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,76,18,94,249,343,16,20,5,11,359,2568,"",""
"30","2020-03-24T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,80,19,99,296,395,52,62,11,15,421,2859,"",""
"31","2020-03-25T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,82,19,101,311,412,17,21,12,18,442,3019,"",""
"32","2020-03-26T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,92,20,112,350,462,50,52,13,19,494,3461,"",""
"33","2020-03-27T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,93,19,112,384,496,34,36,13,21,530,3801,"",""
"34","2020-03-28T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,95,22,117,452,569,73,94,29,26,624,4225,"",""
"35","2020-03-29T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,105,23,128,454,582,13,14,29,27,638,4598,"",""
"36","2020-03-30T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,113,24,137,485,622,40,44,32,28,682,4993,"",""
"37","2020-03-31T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,113,28,141,516,657,35,40,34,31,722,5257,"",""
"38","2020-04-01T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,119,27,146,529,675,18,23,36,34,745,5501,"",""
"39","2020-04-02T17:00:00","ITA",20,"Sardegna",39.21531192,9.110616306,117,24,141,577,718,43,49,36,40,794,5970,"",""
